==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=50, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset market1501
Dataset normal
=> Market1501 loaded
Dataset statistics:
  ==============================
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ==============================
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [11][10/93]	Time 0.315 (0.293)	Data 0.163 (0.144)	Loss 6.6465 (6.6003)	CLoss 6.4596 (6.4084)	MLoss 0.1869 (0.1919)	
Epoch: [11][20/93]	Time 0.305 (0.296)	Data 0.162 (0.148)	Loss 6.4442 (6.5733)	CLoss 6.3953 (6.4164)	MLoss 0.0488 (0.1569)	
Epoch: [11][30/93]	Time 0.311 (0.298)	Data 0.165 (0.151)	Loss 6.4678 (6.6232)	CLoss 6.4399 (6.4215)	MLoss 0.0279 (0.2018)	
Epoch: [11][40/93]	Time 0.303 (0.300)	Data 0.157 (0.152)	Loss 6.4947 (6.6688)	CLoss 6.3644 (6.4258)	MLoss 0.1303 (0.2430)	
Epoch: [11][50/93]	Time 0.301 (0.301)	Data 0.155 (0.153)	Loss 6.7794 (6.6735)	CLoss 6.5238 (6.4299)	MLoss 0.2556 (0.2435)	
Epoch: [11][60/93]	Time 0.303 (0.301)	Data 0.152 (0.153)	Loss 7.1636 (6.6934)	CLoss 6.5747 (6.4362)	MLoss 0.5889 (0.2572)	
Epoch: [11][70/93]	Time 0.300 (0.302)	Data 0.152 (0.154)	Loss 6.7287 (6.7170)	CLoss 6.4942 (6.4456)	MLoss 0.2344 (0.2714)	
Epoch: [11][80/93]	Time 0.296 (0.301)	Data 0.151 (0.154)	Loss 6.6236 (6.7309)	CLoss 6.3174 (6.4480)	MLoss 0.3062 (0.2829)	
Epoch: [11][90/93]	Time 0.295 (0.301)	Data 0.150 (0.154)	Loss 6.6150 (6.7350)	CLoss 6.5701 (6.4531)	MLoss 0.0449 (0.2819)	
Epoch: [12][10/93]	Time 0.299 (0.289)	Data 0.151 (0.144)	Loss 6.5896 (6.5315)	CLoss 6.3813 (6.3712)	MLoss 0.2083 (0.1603)	
Epoch: [12][20/93]	Time 0.301 (0.293)	Data 0.153 (0.148)	Loss 6.8568 (6.5483)	CLoss 6.4920 (6.3828)	MLoss 0.3648 (0.1655)	
Epoch: [12][30/93]	Time 0.298 (0.294)	Data 0.155 (0.150)	Loss 6.4849 (6.6377)	CLoss 6.3948 (6.3851)	MLoss 0.0900 (0.2525)	
Epoch: [12][40/93]	Time 0.306 (0.295)	Data 0.161 (0.151)	Loss 6.4565 (6.6486)	CLoss 6.3790 (6.3949)	MLoss 0.0775 (0.2537)	
Epoch: [12][50/93]	Time 0.297 (0.296)	Data 0.156 (0.151)	Loss 6.4715 (6.6709)	CLoss 6.4174 (6.4009)	MLoss 0.0541 (0.2700)	
Epoch: [12][60/93]	Time 0.296 (0.296)	Data 0.151 (0.152)	Loss 6.6628 (6.6903)	CLoss 6.4834 (6.4061)	MLoss 0.1793 (0.2842)	
Epoch: [12][70/93]	Time 0.298 (0.296)	Data 0.153 (0.152)	Loss 6.4862 (6.6814)	CLoss 6.4732 (6.4093)	MLoss 0.0130 (0.2721)	
Epoch: [12][80/93]	Time 0.294 (0.296)	Data 0.152 (0.152)	Loss 6.6216 (6.6742)	CLoss 6.5485 (6.4113)	MLoss 0.0731 (0.2628)	
Epoch: [12][90/93]	Time 0.301 (0.297)	Data 0.155 (0.152)	Loss 6.7669 (6.6765)	CLoss 6.5091 (6.4152)	MLoss 0.2578 (0.2614)	
Epoch: [13][10/93]	Time 0.298 (0.289)	Data 0.152 (0.144)	Loss 6.7552 (6.5616)	CLoss 6.3196 (6.3456)	MLoss 0.4357 (0.2160)	
Epoch: [13][20/93]	Time 0.298 (0.294)	Data 0.155 (0.149)	Loss 6.2972 (6.5459)	CLoss 6.2972 (6.3458)	MLoss 0.0000 (0.2001)	
Epoch: [13][30/93]	Time 0.299 (0.295)	Data 0.152 (0.150)	Loss 6.4771 (6.5842)	CLoss 6.2497 (6.3548)	MLoss 0.2274 (0.2293)	
Epoch: [13][40/93]	Time 0.311 (0.296)	Data 0.154 (0.151)	Loss 6.8217 (6.6151)	CLoss 6.3416 (6.3613)	MLoss 0.4801 (0.2538)	
Epoch: [13][50/93]	Time 0.292 (0.296)	Data 0.149 (0.151)	Loss 6.5414 (6.6303)	CLoss 6.3889 (6.3685)	MLoss 0.1525 (0.2618)	
Epoch: [13][60/93]	Time 0.305 (0.297)	Data 0.159 (0.151)	Loss 6.4835 (6.6409)	CLoss 6.4225 (6.3744)	MLoss 0.0610 (0.2665)	
Epoch: [13][70/93]	Time 0.305 (0.297)	Data 0.155 (0.152)	Loss 6.4327 (6.6406)	CLoss 6.3526 (6.3782)	MLoss 0.0801 (0.2624)	
Epoch: [13][80/93]	Time 0.304 (0.298)	Data 0.154 (0.152)	Loss 6.9666 (6.6421)	CLoss 6.4033 (6.3822)	MLoss 0.5633 (0.2598)	
Epoch: [13][90/93]	Time 0.302 (0.298)	Data 0.152 (0.152)	Loss 6.5793 (6.6376)	CLoss 6.4898 (6.3885)	MLoss 0.0895 (0.2491)	
Epoch: [14][10/93]	Time 0.302 (0.293)	Data 0.152 (0.146)	Loss 6.8624 (6.5732)	CLoss 6.3425 (6.3219)	MLoss 0.5199 (0.2513)	
Epoch: [14][20/93]	Time 0.297 (0.297)	Data 0.151 (0.150)	Loss 6.9774 (6.6525)	CLoss 6.3837 (6.3274)	MLoss 0.5938 (0.3252)	
Epoch: [14][30/93]	Time 0.297 (0.297)	Data 0.153 (0.150)	Loss 6.8316 (6.6040)	CLoss 6.3641 (6.3250)	MLoss 0.4674 (0.2790)	
Epoch: [14][40/93]	Time 0.299 (0.297)	Data 0.156 (0.151)	Loss 7.0395 (6.6243)	CLoss 6.4125 (6.3360)	MLoss 0.6269 (0.2882)	
Epoch: [14][50/93]	Time 0.294 (0.297)	Data 0.152 (0.151)	Loss 6.3411 (6.6297)	CLoss 6.3411 (6.3406)	MLoss 0.0000 (0.2891)	
Epoch: [14][60/93]	Time 0.301 (0.297)	Data 0.152 (0.152)	Loss 6.4341 (6.6221)	CLoss 6.3935 (6.3456)	MLoss 0.0406 (0.2765)	
Epoch: [14][70/93]	Time 0.299 (0.297)	Data 0.155 (0.152)	Loss 6.7497 (6.6229)	CLoss 6.4727 (6.3525)	MLoss 0.2771 (0.2704)	
